 0 45 4 10  0  0 0 1 0 1 0 0 0  1 0 1 0 1 0 1 0  1 0 1 0 1 0 0 0
 1 45 4 10  0  0 0 1 0 1 0 0 0  1 0 1 0 1 0 1 0  1 0 1 0 1 1 1 0
 2 15 4 10  1  1 1 1 1 1 1 1 1  1 0 0 0 1 0 1 0  1 0 1 0 0 0 1 0
 3 15 4 10  1  1 1 1 1 1 1 1 1  1 0 0 0 1 0 1 0  1 0 1 0 1 0 0 0
